IdCompra,Fecha,IdProducto,Cantidad,Precio,IdProveedor,MinPrecio,MaxPrecio,MinCantidad,MaxCantidad,Calidad_Precio,Calidad_Cantidad,Compra,Fecha_Año,Fecha_Mes,Fecha_Periodo
31,2015-01-30,42947,4,1939.23,2,1632.6287499999999,2554.5512500000004,0.0,19.5,Sin errores,Sin errores,7756.92,2015,1,201501
32,2015-01-30,42950,12,1685.63,11,1508.9374999999995,2290.0625000000005,0.0,14.5,Sin errores,Sin errores,20227.56,2015,1,201501
33,2015-01-30,42952,8,3182.35,12,1950.1287499999999,3585.9612500000003,0.0,18.125,Sin errores,Sin errores,25458.8,2015,1,201501
34,2015-01-30,42954,7,1825.08,4,1350.9425,2140.3775,0.0,15.625,Sin errores,Sin errores,12775.56,2015,1,201501
35,2015-01-30,42955,2,1816.93,5,1409.65,1940.65,0.0,17.5,Sin errores,Sin errores,3633.86,2015,1,201501
36,2015-01-30,42958,4,2786.46,2,2024.5400000000006,3243.5599999999995,0.0,21.0,Sin errores,Sin errores,11145.84,2015,1,201501
37,2015-01-30,42959,8,2919.61,8,2525.2925000000005,3439.857499999999,0.5,15.5,Sin errores,Sin errores,23356.88,2015,1,201501
38,2015-01-30,42961,4,175098.0,12,1679.6049999999998,2363.425,0.0,17.75,Outlier,Sin errores,700392.0,2015,1,201501
39,2015-01-30,42963,10,1466.3,3,1284.13625,1986.44375,0.0,20.0,Sin errores,Sin errores,14663.0,2015,1,201501
40,2015-01-30,42964,4,2035.16,11,1591.7599999999998,2466.2900000000004,0.0,21.875,Sin errores,Sin errores,8140.64,2015,1,201501
41,2015-01-30,42966,10,2193.51,10,1935.195,2938.005,0.0,18.5,Sin errores,Sin errores,21935.100000000002,2015,1,201501
42,2015-01-30,42967,6,2447.26,5,1730.6912499999994,2964.6887500000007,0.0,16.875,Sin errores,Sin errores,14683.560000000001,2015,1,201501
43,2015-01-30,42968,8,2200.98,2,1969.2775000000001,2887.6224999999995,0.0,18.125,Sin errores,Sin errores,17607.84,2015,1,201501
44,2015-01-30,42969,5,2591.87,2,1972.4550000000004,3283.6649999999995,0.0,17.5,Sin errores,Sin errores,12959.349999999999,2015,1,201501
45,2015-01-30,42970,17,2284.76,7,1645.1274999999994,2450.4925000000003,0.0,16.625,Sin errores,Outlier,38840.920000000006,2015,1,201501
46,2015-01-30,42971,9,1872.1,11,1549.0924999999997,2320.0475,0.0,20.625,Sin errores,Sin errores,16848.899999999998,2015,1,201501
47,2015-01-30,43030,4,785.5,3,659.35,983.41,0.0,19.125,Sin errores,Sin errores,3142.0,2015,1,201501
48,2015-01-30,43031,8,929.22,12,665.9012499999999,1018.8887500000001,0.0,22.25,Sin errores,Sin errores,7433.76,2015,1,201501
49,2015-01-30,43032,6,730.2,11,525.87,876.93,0.0,16.375,Sin errores,Sin errores,4381.200000000001,2015,1,201501
50,2015-01-30,43033,12,746.46,13,600.6937499999999,973.4662500000002,0.0,16.0,Sin errores,Sin errores,8957.52,2015,1,201501
51,2015-01-30,43037,9,720.86,4,653.03875,959.7512499999999,0.0,20.5,Sin errores,Sin errores,6487.74,2015,1,201501
52,2015-01-30,43039,3,545.04,4,421.3812499999999,696.69875,0.0,17.5,Sin errores,Sin errores,1635.12,2015,1,201501
53,2015-01-30,43041,8,610.06,4,378.72375000000005,690.11625,0.0,22.0,Sin errores,Sin errores,4880.48,2015,1,201501
54,2015-01-30,42816,16,996.8,13,666.54,1090.56,0.0,17.75,Sin errores,Sin errores,15948.8,2015,1,201501
55,2015-01-30,42818,3,1149.29,7,1071.85,1733.29,0.0,20.5,Sin errores,Sin errores,3447.87,2015,1,201501
56,2015-01-30,42819,35,645.87,2,437.86250000000007,769.1374999999999,0.0,20.25,Sin errores,Outlier,22605.45,2015,1,201501
57,2015-01-30,42821,13,513.26,13,369.42499999999995,543.215,0.0,19.5,Sin errores,Sin errores,6672.38,2015,1,201501
58,2015-01-30,42823,11,680.69,11,506.2787500000002,702.2612499999998,0.0,17.5,Sin errores,Sin errores,7487.59,2015,1,201501
59,2015-01-30,42824,5,355.8,12,292.46500000000003,497.18499999999995,0.0,22.0,Sin errores,Sin errores,1779.0,2015,1,201501
60,2015-01-30,42826,4,405.87,10,277.46500000000003,461.995,0.0,17.0,Sin errores,Sin errores,1623.48,2015,1,201501
61,2015-01-30,42827,8,312.44,8,283.3924999999999,429.86750000000006,2.0,14.0,Sin errores,Sin errores,2499.52,2015,1,201501
62,2015-01-30,42829,6,711.69,3,472.72499999999997,784.395,0.0,12.5,Sin errores,Sin errores,4270.14,2015,1,201501
63,2015-01-30,42830,7,372.36,9,261.04,415.59999999999997,0.0,21.0,Sin errores,Sin errores,2606.52,2015,1,201501
64,2015-01-30,42831,6,235.16,2,183.495,319.84499999999997,0.0,16.875,Sin errores,Sin errores,1410.96,2015,1,201501
65,2015-01-30,42810,4,,3,728.5024999999998,1086.1775,0.0,17.625,Valor Nulo,Sin errores,,2015,1,201501
66,2015-01-30,42811,9,1814.02,3,1528.6837499999997,2016.4762500000002,0.0,14.25,Sin errores,Sin errores,16326.18,2015,1,201501
67,2015-01-30,42813,6,245.88,12,216.56000000000006,319.28,0.0,15.5,Sin errores,Sin errores,1475.28,2015,1,201501
68,2015-01-30,42814,15,263.09,8,210.03499999999997,315.005,0.0,20.375,Sin errores,Sin errores,3946.3499999999995,2015,1,201501
69,2015-01-30,42815,11,,7,325.2025,520.2175,0.0,18.25,Valor Nulo,Sin errores,,2015,1,201501
70,2015-01-30,42904,10,99.05,6,75.51500000000001,113.10499999999999,0.0,14.5,Sin errores,Sin errores,990.5,2015,1,201501
71,2015-01-30,42905,26,335.59,3,268.52750000000003,377.50249999999994,0.0,19.0,Sin errores,Outlier,8725.34,2015,1,201501
72,2015-01-30,42906,5,213.35,5,180.14999999999998,265.89000000000004,0.0,19.0,Sin errores,Sin errores,1066.75,2015,1,201501
73,2015-01-30,42737,2,,6,889.385,1453.8350000000003,0.0,18.75,Valor Nulo,Sin errores,,2015,1,201501
74,2015-01-30,42865,5,142.02,3,113.63875,172.43124999999998,0.0,17.125,Sin errores,Sin errores,710.1,2015,1,201501
75,2015-01-30,42866,18,153.69,2,113.63999999999999,167.58000000000004,0.0,17.5,Sin errores,Outlier,2766.42,2015,1,201501
76,2015-01-30,42872,28,401.3,13,302.96875,459.92125,0.0,15.625,Sin errores,Outlier,11236.4,2015,1,201501
77,2015-01-30,42875,15,378.23,11,352.79875000000004,431.60124999999994,0.0,19.0,Sin errores,Sin errores,5673.450000000001,2015,1,201501
78,2015-01-30,42877,2,383.54,8,320.1075000000001,456.4124999999999,0.0,20.0,Sin errores,Sin errores,767.08,2015,1,201501
79,2015-01-30,42878,7,422.96,6,311.7674999999999,482.15250000000003,0.0,17.5,Sin errores,Sin errores,2960.72,2015,1,201501
80,2015-01-30,42880,20,408.96,13,303.98249999999996,474.27750000000003,0.5,15.5,Sin errores,Outlier,8179.2,2015,1,201501
81,2015-01-30,42881,11,313.59,1,274.23,410.94000000000005,0.0,19.5,Sin errores,Sin errores,3449.49,2015,1,201501
82,2015-01-30,42884,8,327.54,7,284.65000000000003,399.07,0.0,17.75,Sin errores,Sin errores,2620.32,2015,1,201501
83,2015-01-30,42885,4,306.01,8,288.9625,386.5675,0.0,16.0,Sin errores,Sin errores,1224.04,2015,1,201501
84,2015-01-30,42886,23,298.82,6,279.91749999999996,421.2625,0.0,23.0,Sin errores,Sin errores,6872.86,2015,1,201501
85,2015-01-30,42887,11,,3,249.1074999999999,441.6325000000001,0.0,16.375,Valor Nulo,Sin errores,,2015,1,201501
86,2015-01-30,42888,7,318.44,6,267.05499999999995,408.745,0.0,17.5,Sin errores,Sin errores,2229.08,2015,1,201501
87,2015-01-30,42890,12,311.06,11,314.89125,444.88874999999996,0.0,22.375,Outlier,Sin errores,3732.7200000000003,2015,1,201501
88,2015-01-30,42891,7,337.56,4,290.21874999999994,429.08125,0.0,17.875,Sin errores,Sin errores,2362.92,2015,1,201501
89,2015-01-30,42892,8,375.41,11,260.65999999999997,434.9,0.0,21.625,Sin errores,Sin errores,3003.28,2015,1,201501
90,2015-01-30,42894,8,318.9,12,283.61375,435.7962500000001,0.0,11.875,Sin errores,Sin errores,2551.2,2015,1,201501
91,2015-01-30,42896,7,338.12,8,294.91874999999993,422.0512500000001,0.0,18.375,Sin errores,Sin errores,2366.84,2015,1,201501
92,2015-01-30,42897,13,311.28,14,303.245,437.855,0.0,14.0,Sin errores,Sin errores,4046.6399999999994,2015,1,201501
93,2015-01-30,42898,13,323.51,4,296.0325,446.10749999999996,0.0,19.5,Sin errores,Sin errores,4205.63,2015,1,201501
94,2015-01-30,42985,5,1069.55,10,830.1274999999996,1282.9025000000001,0.0,14.875,Sin errores,Sin errores,5347.75,2015,1,201501
95,2015-01-30,42986,5,214.49,13,188.01999999999998,298.18000000000006,0.0,18.5,Sin errores,Sin errores,1072.45,2015,1,201501
96,2015-01-30,42989,3,263.83,12,232.90249999999997,364.4975,0.0,20.0,Sin errores,Sin errores,791.49,2015,1,201501
97,2015-01-30,42991,21,326.45,10,227.47125000000005,360.40875000000005,0.0,24.0,Sin errores,Sin errores,6855.45,2015,1,201501
98,2015-01-30,42992,5,443.61,13,322.90999999999997,493.43000000000006,0.0,17.5,Sin errores,Sin errores,2218.05,2015,1,201501
99,2015-01-30,42994,15,426.56,11,317.3625,517.5975000000001,0.0,24.5,Sin errores,Sin errores,6398.4,2015,1,201501
100,2015-01-30,42995,10,263.77,11,211.79000000000002,300.16999999999996,0.0,15.0,Sin errores,Sin errores,2637.7,2015,1,201501
101,2015-01-30,42997,8,330.07,4,259.0524999999999,398.6875000000001,0.0,21.5,Sin errores,Sin errores,2640.56,2015,1,201501
102,2015-01-30,42998,17,359.22,8,311.70500000000004,455.55499999999995,0.0,17.5,Sin errores,Sin errores,6106.740000000001,2015,1,201501
103,2015-01-30,43000,7,280.51,10,222.96250000000003,314.2675,0.0,16.0,Sin errores,Sin errores,1963.57,2015,1,201501
104,2015-01-30,43002,5,276.11,7,227.535,338.68500000000006,0.0,16.5,Sin errores,Sin errores,1380.5500000000002,2015,1,201501
105,2015-01-30,43003,12,311.25,7,235.72000000000003,385.69000000000005,0.0,19.625,Sin errores,Sin errores,3735.0,2015,1,201501
106,2015-01-30,43004,12,271.67,7,208.20749999999998,297.2325,0.0,16.5,Sin errores,Sin errores,3260.04,2015,1,201501
107,2015-01-30,43005,4,275.24,6,230.185,362.215,0.0,21.375,Sin errores,Sin errores,1100.96,2015,1,201501
108,2015-01-30,43012,3,324.51,10,277.98875,445.56125,0.0,14.625,Sin errores,Sin errores,973.53,2015,1,201501
109,2015-01-30,43013,13,230.76,1,196.03499999999997,288.045,0.0,16.5,Sin errores,Sin errores,2999.88,2015,1,201501
110,2015-01-30,43014,3,385.8,2,260.84375,409.8162500000001,0.0,26.5,Sin errores,Sin errores,1157.4,2015,1,201501
111,2015-01-30,43016,2,309.5,13,260.38875,373.78125000000006,0.0,16.0,Sin errores,Sin errores,619.0,2015,1,201501
112,2015-01-30,43018,20,344.05,10,238.53875000000005,368.16125,0.0,19.375,Sin errores,Outlier,6881.0,2015,1,201501
113,2015-01-30,43020,18,436.96,10,307.53,467.19000000000005,0.0,22.5,Sin errores,Sin errores,7865.28,2015,1,201501
114,2015-01-30,43022,10,,5,234.85500000000005,376.905,0.0,18.25,Valor Nulo,Sin errores,,2015,1,201501
115,2015-01-30,43024,20,367.43,8,310.34,425.36000000000007,0.0,21.0,Sin errores,Sin errores,7348.6,2015,1,201501
116,2015-01-30,43026,8,411.53,6,281.6812499999999,453.85875000000004,0.0,24.25,Sin errores,Sin errores,3292.24,2015,1,201501
117,2015-01-30,42754,17,975.97,2,728.8550000000002,990.5449999999998,0.0,16.125,Sin errores,Outlier,16591.49,2015,1,201501
118,2015-01-30,42755,6,785.85,7,545.1775,939.8125,0.0,20.0,Sin errores,Sin errores,4715.1,2015,1,201501
119,2015-01-30,42758,27,1371.9,8,969.6899999999994,1552.9200000000003,0.0,16.5,Sin errores,Outlier,37041.3,2015,1,201501
120,2015-01-30,42760,7,1099.95,9,834.8212500000002,1415.05875,0.0,16.0,Sin errores,Sin errores,7699.650000000001,2015,1,201501
121,2015-01-30,42763,11,1663.23,11,1178.8374999999996,1732.5625000000005,0.0,25.75,Sin errores,Sin errores,18295.53,2015,1,201501
122,2015-01-30,42765,2,1302.6,6,1096.495,1592.245,0.0,15.0,Sin errores,Sin errores,2605.2,2015,1,201501
123,2015-01-30,42766,4,5332.18,10,3993.15,5810.25,0.0,17.5,Sin errores,Sin errores,21328.72,2015,1,201501
124,2015-01-30,42768,31,1335.75,10,1063.7925,1607.7075,0.0,18.0,Sin errores,Outlier,41408.25,2015,1,201501
125,2015-01-30,42769,4,1875.04,5,1723.6387500000003,2675.74125,0.5,15.5,Sin errores,Sin errores,7500.16,2015,1,201501
126,2015-01-30,42773,2,5309.59,1,4737.5075,7442.7425,0.0,21.25,Sin errores,Sin errores,10619.18,2015,1,201501
127,2015-01-30,42774,14,4506.49,11,3906.1100000000015,5019.7699999999995,0.125,15.875,Sin errores,Sin errores,63090.86,2015,1,201501
128,2015-01-30,42777,13,1865.98,7,1647.395,2018.8850000000002,0.0,19.25,Sin errores,Sin errores,24257.74,2015,1,201501
129,2015-01-30,42778,28,1834.88,10,1544.6987500000005,2401.4612499999994,0.0,18.375,Sin errores,Outlier,51376.64,2015,1,201501
130,2015-01-30,42779,10,7481.5,11,5719.863749999999,8281.91625,0.0,23.5,Sin errores,Sin errores,74815.0,2015,1,201501
131,2015-01-30,42782,6,2678.34,1,2033.0437499999994,2854.6462500000002,0.0,20.0,Sin errores,Sin errores,16070.04,2015,1,201501
132,2015-01-30,42789,5,167.05,9,119.32499999999996,187.51500000000001,0.0,18.0,Sin errores,Sin errores,835.25,2015,1,201501
133,2015-01-30,42792,2,317.73,9,282.16749999999996,408.8725,0.0,18.0,Sin errores,Sin errores,635.46,2015,1,201501
134,2015-01-30,42793,8,599.24,6,469.90749999999997,729.3924999999999,0.0,20.0,Sin errores,Sin errores,4793.92,2015,1,201501
135,2015-01-30,42794,4,215.71,2,182.51999999999998,245.58000000000004,0.0,17.0,Sin errores,Sin errores,862.84,2015,1,201501
136,2015-01-30,42795,18,410.73,7,312.14,438.91999999999996,0.0,19.0,Sin errores,Sin errores,7393.14,2015,1,201501
137,2015-01-30,42796,2,283.34,3,259.08125000000007,376.05875000000003,0.0,15.0,Sin errores,Sin errores,566.68,2015,1,201501
138,2015-01-30,42801,7,1950.04,5,1537.8575,2434.6025,0.0,20.875,Sin errores,Sin errores,13650.279999999999,2015,1,201501
139,2015-01-30,42926,32,59.21,1,42.72624999999999,65.53375,0.0,18.0,Sin errores,Outlier,1894.72,2015,1,201501
140,2015-01-30,42929,3,249.15,2,191.51875,253.79125,0.0,19.0,Sin errores,Sin errores,747.45,2015,1,201501
141,2015-01-30,42931,23,212.31,5,163.54500000000002,284.115,0.0,18.75,Sin errores,Outlier,4883.13,2015,1,201501
142,2015-01-30,42853,5,483.89,10,397.90125,597.58875,0.0,14.5,Sin errores,Sin errores,2419.45,2015,1,201501
143,2015-01-30,42870,17,134.46,3,97.10499999999999,148.79500000000002,0.0,19.25,Sin errores,Sin errores,2285.82,2015,1,201501
144,2015-01-30,42899,9,131.3,7,108.26375000000002,175.81624999999997,0.0,16.625,Sin errores,Sin errores,1181.7,2015,1,201501
145,2015-01-30,42900,9,192.97,5,145.36875,213.25125,0.0,21.0,Sin errores,Sin errores,1736.73,2015,1,201501
146,2015-01-30,42928,15,97.84,4,67.61000000000001,103.03999999999996,0.0,16.0,Sin errores,Sin errores,1467.6000000000001,2015,1,201501
147,2015-01-30,42975,16,164.95,13,124.29249999999999,180.37749999999997,0.0,23.25,Sin errores,Sin errores,2639.2,2015,1,201501
148,2015-01-30,42976,2,151.51,6,129.125,192.815,0.0,24.0,Sin errores,Sin errores,303.02,2015,1,201501
149,2015-01-30,42977,4,88.78,10,56.285000000000004,89.61500000000001,0.0,17.375,Sin errores,Sin errores,355.12,2015,1,201501
150,2015-01-30,42978,5,72.24,11,61.27375,96.09625,0.0,13.25,Sin errores,Sin errores,361.2,2015,1,201501
151,2015-01-30,42979,2,68.33,14,57.710000000000015,100.72999999999999,0.0,18.0,Sin errores,Sin errores,136.66,2015,1,201501
152,2015-01-30,42980,6,86.82,12,64.8775,93.60249999999999,0.0,16.375,Sin errores,Sin errores,520.92,2015,1,201501
153,2015-01-30,42982,11,7.8,13,7.827500000000001,10.572499999999998,0.0,19.5,Outlier,Sin errores,85.8,2015,1,201501
154,2015-02-27,42832,22,530.11,6,423.275,697.745,0.0,20.125,Sin errores,Outlier,11662.42,2015,2,201502
155,2015-02-27,42833,9,645.24,1,474.70625000000007,730.1637499999998,0.0,18.5,Sin errores,Sin errores,5807.16,2015,2,201502
156,2015-02-27,42836,13,611.73,7,433.74125,726.00875,0.0,19.5,Sin errores,Sin errores,7952.49,2015,2,201502
157,2015-02-27,42837,2,333.79,9,224.71999999999997,375.08,0.0,16.5,Sin errores,Sin errores,667.58,2015,2,201502
158,2015-02-27,42838,4,710.45,11,544.0637499999999,774.6062500000002,0.0,23.0,Sin errores,Sin errores,2841.8,2015,2,201502
159,2015-02-27,42839,18,279.78,5,195.905,310.08500000000004,0.0,22.0,Sin errores,Sin errores,5036.039999999999,2015,2,201502
160,2015-02-27,42842,10,273.31,10,198.64750000000004,316.9525,0.0,17.5,Sin errores,Sin errores,2733.1,2015,2,201502
161,2015-02-27,42843,5,481.56,12,412.9825000000001,564.7674999999999,0.0,20.375,Sin errores,Sin errores,2407.8,2015,2,201502
162,2015-02-27,42844,18,1124.05,14,972.2962499999995,1492.2337500000003,0.0,14.5,Sin errores,Outlier,20232.899999999998,2015,2,201502
163,2015-02-27,42846,5,1900.31,10,1577.8962499999998,2456.5737500000005,0.0,21.875,Sin errores,Sin errores,9501.55,2015,2,201502
164,2015-02-27,42847,13,1827.78,10,1497.8,2453.3599999999997,0.0,20.0,Sin errores,Sin errores,23761.14,2015,2,201502
165,2015-02-27,42857,9,402.85,5,285.095,452.885,0.0,16.25,Sin errores,Sin errores,3625.65,2015,2,201502
166,2015-02-27,42858,3,365.81,8,265.7249999999999,441.67500000000007,0.0,21.5,Sin errores,Sin errores,1097.43,2015,2,201502
167,2015-02-27,42859,6,415.85,9,364.81500000000005,484.66499999999996,0.0,16.125,Sin errores,Sin errores,2495.1000000000004,2015,2,201502
168,2015-02-27,42984,28,201.15,9,132.98249999999996,233.6775,0.0,12.5,Sin errores,Outlier,5632.2,2015,2,201502
169,2015-02-27,42908,7,1131.45,3,857.555,1164.1550000000002,0.0,15.0,Sin errores,Sin errores,7920.150000000001,2015,2,201502
170,2015-02-27,42910,4,1189.0,13,909.8350000000004,1321.3449999999998,0.0,21.375,Sin errores,Sin errores,4756.0,2015,2,201502
171,2015-02-27,42911,19,1179.98,1,942.745,1556.8450000000003,0.0,20.5,Sin errores,Sin errores,22419.62,2015,2,201502
172,2015-02-27,42912,15,1310.58,4,959.2712499999998,1427.7887500000002,0.0,19.25,Sin errores,Sin errores,19658.699999999997,2015,2,201502
173,2015-02-27,42913,9,1059.86,4,783.6737499999999,1137.06625,0.0,19.625,Sin errores,Sin errores,9538.74,2015,2,201502
174,2015-02-27,42914,16,1025.12,13,835.7887500000002,1214.2312499999998,0.0,24.0,Sin errores,Sin errores,16401.92,2015,2,201502
175,2015-02-27,42918,2,622.5,10,485.10625000000005,643.60375,0.0,14.25,Sin errores,Sin errores,1245.0,2015,2,201502
176,2015-02-27,42919,10,476.95,9,351.3975,539.5725,0.0,17.0,Sin errores,Sin errores,4769.5,2015,2,201502
177,2015-02-27,42920,6,505.49,6,435.7749999999999,663.2650000000001,0.0,17.5,Sin errores,Sin errores,3032.94,2015,2,201502
178,2015-02-27,42921,6,576.48,8,439.0825,595.4575,0.0,17.5,Sin errores,Sin errores,3458.88,2015,2,201502
179,2015-02-27,42922,13,522.31,13,410.9224999999999,621.4175,0.5,15.5,Sin errores,Sin errores,6790.029999999999,2015,2,201502
180,2015-02-27,42924,1,375.66,8,352.04625,550.95375,0.0,14.25,Sin errores,Sin errores,375.66,2015,2,201502
181,2015-02-27,42925,3,1.96,9,1.6875,2.5725,0.0,19.5,Sin errores,Sin errores,5.88,2015,2,201502
182,2015-02-27,42934,3,1110.8,5,903.6087500000002,1564.4412499999999,0.0,21.625,Sin errores,Sin errores,3332.3999999999996,2015,2,201502
183,2015-02-27,42937,5,1569.32,5,1251.5150000000003,2143.865,0.125,15.875,Sin errores,Sin errores,7846.599999999999,2015,2,201502
184,2015-02-27,42941,27,2114.97,3,1723.2099999999996,2432.77,0.0,16.0,Sin errores,Outlier,57104.189999999995,2015,2,201502
185,2015-02-27,42944,24,2621.9,12,2070.0874999999996,3075.7925000000005,0.0,19.25,Sin errores,Outlier,62925.600000000006,2015,2,201502
186,2015-02-27,42946,10,1487.36,1,1254.7575000000002,1836.5924999999997,0.0,17.25,Sin errores,Sin errores,14873.599999999999,2015,2,201502
187,2015-02-27,42949,6,1515.91,8,1173.89,1787.3300000000002,0.0,15.0,Sin errores,Sin errores,9095.460000000001,2015,2,201502
188,2015-02-27,42950,14,1832.77,5,1508.9374999999995,2290.0625000000005,0.0,14.5,Sin errores,Sin errores,25658.78,2015,2,201502
189,2015-02-27,42951,8,1872.87,6,1631.9224999999994,2571.6575000000003,0.0,12.75,Sin errores,Sin errores,14982.96,2015,2,201502
190,2015-02-27,42953,7,2268.76,10,2173.4037499999995,2935.99625,0.0,19.0,Sin errores,Sin errores,15881.320000000002,2015,2,201502
191,2015-02-27,42955,3,1705.33,9,1409.65,1940.65,0.0,17.5,Sin errores,Sin errores,5115.99,2015,2,201502
192,2015-02-27,42960,15,3050.95,4,2338.1125,3624.5874999999996,0.0,17.125,Sin errores,Sin errores,45764.25,2015,2,201502
193,2015-02-27,42963,8,1670.36,9,1284.13625,1986.44375,0.0,20.0,Sin errores,Sin errores,13362.88,2015,2,201502
194,2015-02-27,42966,20,2639.19,5,1935.195,2938.005,0.0,18.5,Sin errores,Outlier,52783.8,2015,2,201502
195,2015-02-27,42968,23,2326.25,10,1969.2775000000001,2887.6224999999995,0.0,18.125,Sin errores,Outlier,53503.75,2015,2,201502
196,2015-02-27,42969,11,2894.93,6,1972.4550000000004,3283.6649999999995,0.0,17.5,Sin errores,Sin errores,31844.23,2015,2,201502
197,2015-02-27,42970,5,2085.32,3,1645.1274999999994,2450.4925000000003,0.0,16.625,Sin errores,Sin errores,10426.6,2015,2,201502
198,2015-02-27,42971,5,1739.46,11,1549.0924999999997,2320.0475,0.0,20.625,Sin errores,Sin errores,8697.3,2015,2,201502
199,2015-02-27,42972,12,1702.12,2,1485.76625,2363.5437500000007,0.0,21.375,Sin errores,Sin errores,20425.44,2015,2,201502
200,2015-02-27,43029,3,737.94,3,652.2812499999998,917.3387500000001,0.0,29.5,Sin errores,Sin errores,2213.82,2015,2,201502
201,2015-02-27,43031,29,948.17,12,665.9012499999999,1018.8887500000001,0.0,22.25,Sin errores,Outlier,27496.93,2015,2,201502
202,2015-02-27,43032,8,644.51,6,525.87,876.93,0.0,16.375,Sin errores,Sin errores,5156.08,2015,2,201502
203,2015-02-27,43034,5,611.33,10,563.7774999999999,826.7124999999999,0.0,19.0,Sin errores,Sin errores,3056.65,2015,2,201502
204,2015-02-27,43035,12,755.16,8,680.9100000000001,917.3699999999999,0.0,18.0,Sin errores,Sin errores,9061.92,2015,2,201502
